('B000IDSLOG', 4.236293859649122, 18.44)
('B000BNQC58', 4.515566199110503, 33.95)
('B00295MQLU', 4.71433615819209, 34.06)
('B0052QYLUM', 3.839929328621908, 99.99)
('B000YDDF6O', 4.718866517524235, 9.99)
('B0000DEW8N', 4.745728234336859, 24.78)
('B000LXQVA4', 4.704206241519675, 73.32)
('B0011URFRE', 4.216933638443936, 170.99)
('B0000635WI', 4.327098321342926, 33.99)
('B001OC5UMQ', 4.169087136929461, 38.04)
('B00003TL7P', 4.044099378881987, 35.49)
('B002C30S96', 4.638018936635105, 19.5)
('B0042D69WY', 4.333083832335329, 185.0)
('B00020L78M', 4.393553223388306, 68.89)
('B002WB2G8Y', 4.11544227886057, 52.75)
